instance_number,objective,number_of_runways,landing_times,runway_assignment,objective_value
3,makespan,1,"[87.0, 208.0, 140.0, 106.0, 202.0, 125.0, 205.0, 98.0, 117.0, 171.0, 163.0, 155.0, 261.0, 250.0, 214.0, 310.0, 269.0, 237.0, 179.0, 187.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",310.0
3,makespan,2,"[87.0, 157.0, 153.0, 130.0, 201.0, 95.0, 185.0, 103.0, 122.0, 122.0, 138.0, 114.0, 261.0, 250.0, 214.0, 310.0, 269.0, 237.0, 144.0, 153.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",310.0
3,makespan,3,"[98.0, 157.0, 140.0, 125.0, 201.0, 98.0, 185.0, 98.0, 117.0, 117.0, 132.0, 114.0, 261.0, 250.0, 214.0, 310.0, 269.0, 237.0, 144.0, 155.0]","[2, 0, 1, 1, 0, 0, 2, 1, 1, 0, 0, 2, 2, 0, 2, 1, 1, 2, 2, 1]",310.0
4,penalty,1,"[82.0, 90.0, 201.0, 270.0, 98.0, 122.0, 130.0, 114.0, 106.0, 280.0, 295.0, 146.0, 138.0, 291.0, 186.0, 154.0, 170.0, 178.0, 162.0, 357.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2520.0
4,penalty,2,"[90.0, 93.0, 187.0, 270.0, 98.0, 118.0, 118.0, 110.0, 110.0, 280.0, 295.0, 156.0, 137.0, 291.0, 174.0, 156.0, 172.0, 166.0, 164.0, 357.0]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1]",640.0
4,penalty,3,"[92.0, 93.0, 184.00000009869, 270.0, 98.0, 117.0, 118.0, 116.0, 110.0, 280.0, 295.0, 156.0, 137.0, 291.0, 174.0, 156.0, 170.0, 169.00000009869, 166.0, 357.0]","[0, 2, 1, 1, 1, 0, 1, 2, 1, 2, 2, 0, 0, 0, 0, 2, 2, 1, 0, 0]",129.99999803274986
4,total_time,1,"[82.0, 98.0, 201.0, 204.0, 90.0, 130.0, 122.0, 114.0, 106.0, 221.0, 232.0, 154.0, 138.0, 235.0, 186.0, 146.0, 178.0, 170.0, 162.0, 286.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3255.0
4,total_time,2,"[82.0, 84.0, 173.0, 204.0, 90.0, 104.0, 109.0, 112.0, 101.0, 221.0, 232.0, 138.0, 123.0, 235.0, 159.0, 140.0, 158.0, 151.0, 150.0, 286.0]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",3052.0
4,total_time,3,"[82.0, 84.0, 150.0, 204.0, 89.0, 104.0, 109.0, 105.0, 101.0, 221.0, 232.0, 138.0, 123.0, 235.0, 159.0, 140.0, 158.0, 151.0, 150.0, 286.0]","[1, 2, 2, 2, 0, 2, 0, 1, 0, 2, 2, 1, 0, 1, 1, 0, 0, 1, 0, 1]",3021.0
4,makespan,1,"[82.0, 90.0, 208.0, 205.0, 166.0, 133.0, 117.0, 109.0, 101.0, 221.0, 232.0, 141.0, 125.0, 235.0, 158.0, 174.0, 190.0, 182.0, 150.0, 286.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",286.0
